,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
1,지역,고산신용협동조합,본점,(63008) 제주특별자치도 제주시 한경면고산로 13
2,지역,구좌신용협동조합,본점,(695973) 제주특별자치도 제주시 구좌읍구좌로 29
3,지역,금빛신용협동조합,본점,(63034) 제주특별자치도 제주시 애월읍일주서로 5992
4,지역,늘푸른신용협동조합,본점,(690812) 제주특별자치도 제주시 서광로 215(삼도일동)
5,지역,늘푸른신용협동조합,지점,(690802) 제주특별자치도 제주시 1100로 3342(노형동)
6,지역,늘푸른신용협동조합,지점,(63223) 제주특별자치도 제주시 연삼로 416(이도이동)
7,지역,대정신용협동조합,본점,(699935) 제주특별자치도 서귀포시 대정읍하모중앙로 45
8,지역,대정신용협동조합,지점,(699935) 제주특별자치도 서귀포시 대정읍상모로 327
9,지역,동광신용협동조합,본점,(63218) 제주특별자치도 제주시 고마로 152(이도이동)
10,지역,동광신용협동조합,지점,(63132) 제주특별자치도 제주시 신광로 88(연동)
11,지역,동제주신용협동조합,본점,(63289) 제주특별자치도 제주시 일주동로 205(화북일동)
12,지역,동제주신용협동조합,지점,(63211) 제주특별자치도 제주시 연삼로 429(이도이동)
13,지역,보목신용협동조합,본점,(697020) 제주특별자치도 서귀포시 칠십리로 486(보목동)
14,지역,사라신용협동조합,본점,(63281) 제주특별자치도 제주시 연무정길 28(건입동)
15,지역,사라신용협동조합,지점,(63103) 제주특별자치도 제주시 광평동로 28(노형동)
16,지역,삼다신용협동조합,본점,(690817) 제주특별자치도 제주시 국기로 34(연동)
17,지역,삼다신용협동조합,지점,(63231) 제주특별자치도 제주시 승천로 78(아라이동)
18,지역,서귀포동부신용협동조합,본점,(697856) 제주특별자치도 서귀포시 효돈로 136(신효동)
19,지역,서귀포동부신용협동조합,지점,(697836) 제주특별자치도 서귀포시 일주동로 8548(동홍동)
20,지역,서귀포신용협동조합,본점,(697843) 제주특별자치도 서귀포시 중앙로48번길 37(서귀동)
21,지역,서귀포신용협동조합,지점,(63566) 제주특별자치도 서귀포시 신중남로 23-2(강정동)
22,지역,서귀포신용협동조합,지점,(63641) 제주특별자치도 서귀포시 성산읍서성일로 1252
23,지역,성안신용협동조합,본점,(63247) 제주특별자치도 제주시 인다8길 7(아라일동)
24,지역,성안신용협동조합,지점,(63171) 제주특별자치도 제주시 서사로 63(삼도이동)
25,지역,신제주신용협동조합,본점,"(63097) 제주특별자치도 제주시 남녕로 29(노형동,)"
26,지역,신제주신용협동조합,지점,(63070) 제주특별자치도 제주시 우정로11길 7(외도일동)
27,지역,안덕신용협동조합,본점,(699923) 제주특별자치도 서귀포시 안덕면화순로 95
28,지역,애월신용협동조합,본점,(63043) 제주특별자치도 제주시 애월읍애월로 134
29,지역,위미신용협동조합,본점,(63610) 제주특별자치도 서귀포시 남원읍태위로 179
30,지역,위미신용협동조합,지점,(63611) 제주특별자치도 서귀포시 남원읍태위로 95
31,지역,제민신용협동조합,본점,(690809) 제주특별자치도 제주시 관덕로8길 6(삼도이동)
32,지역,제민신용협동조합,지점,(690807) 제주특별자치도 제주시 연삼로 322(도남동)
33,지역,제민신용협동조합,지점,(63133) 제주특별자치도 제주시 노연로 142-1(연동)
34,지역,제민신용협동조합,지점,(690802) 제주특별자치도 제주시 노연로 42(노형동)
35,지역,제상신용협동조합,본점,(63205) 제주특별자치도 제주시 연삼로 345(도남동)
36,지역,제상신용협동조합,지점,(63100) 제주특별자치도 제주시 월랑로 45(노형동)
37,지역,제주Y신용협동조합,본점,(63154) 제주특별자치도 제주시 서사로 12-1(용담일동)
38,지역,제주Y신용협동조합,지점,"(63126) 제주특별자치도 제주시 성신로1길 18(연동,장원타운아파트)"
39,지역,제주Y신용협동조합,지점,(63113) 제주특별자치도 제주시 도공로 25-1(도두일동)
40,지역,제주동부신용협동조합,본점,(63333) 제주특별자치도 제주시 조천읍신북로 550
41,지역,제주동부신용협동조합,지점,"(63200) 제주특별자치도 제주시 신성로 91(도남동,성환아파트)"
42,지역,제주서부신용협동조합,본점,(63005) 제주특별자치도 제주시 한경면중산간서로 3610
43,지역,제주서부신용협동조합,지점,(63019) 제주특별자치도 제주시 한림읍금악로 9
44,지역,제주서부신용협동조합,지점,(63029) 제주특별자치도 제주시 한림읍명랑로 6-3
45,지역,제주신용협동조합,본점,(63264) 제주특별자치도 제주시 동문로 4(일도일동)
46,지역,제주신용협동조합,지점,(63275) 제주특별자치도 제주시 고마로 104(일도이동)
47,지역,제주신용협동조합,지점,(63102) 제주특별자치도 제주시 노형로 373(노형동)
48,지역,제주중앙신용협동조합,본점,(63232) 제주특별자치도 제주시 중앙로 368(이도이동)
49,지역,제주중앙신용협동조합,지점,(63169) 제주특별자치도 제주시 중앙로14길 15(삼도이동)
50,지역,제주중앙신용협동조합,지점,(63083) 제주특별자치도 제주시 신형로 27(노형동)
